Node 61	76.85022000000001	73.32822	84.66456	74.41786	87.34536	87.06439999999999	76.17416	99.94448	85.59008	80.09312	88.54934	72.31564	
Node 62	34.51934	83.02588	82.30897999999999	77.39482	75.40234	66.23824	66.66114	74.49802	71.88647999999999	74.54764	87.29936000000001	74.03192	
Node 63	77.71738	97.3062	82.50534	70.38772	85.42187999999999	82.0722	69.7178	84.89116	79.22356	83.39457999999999	78.66554000000001	70.06331999999999	
Node 64	71.55992	81.40706	84.55556	77.65976	81.9698	77.09804	78.06908	85.25116	85.91884	76.59966	80.58341999999999	73.99552	
Node 65	72.17708	75.07594	82.54048	75.88036	86.24918000000001	70.82751999999999	82.41864	82.62814	82.98216000000001	79.39376	72.28102	69.07632	
Node 66	72.51442	74.72172	73.40538	83.0533	79.21866	71.44268	76.21648	73.83978	71.18362	75.28424	70.82378	82.83464000000001	
Node 67	77.93806	83.72142	86.05196000000001	81.95422	83.54858	83.90642	75.40568	88.63723999999999	68.63776	76.602	79.90914000000001	66.30282	
Node 68	69.38972	73.4517	82.14488	80.78002	84.06352	79.63688	77.09949999999999	56.7053	80.82926	72.81692	99.13656	80.2002	
Node 69	70.27598	77.06994	82.23696000000001	75.11576	85.6206	65.56457999999999	83.86955999999999	75.87858	72.1875	73.53312	87.42594	77.32795999999999	
Node 70	80.41598	82.10322	81.2438	74.1515	72.06378	83.71046	68.32357999999999	76.08648	89.63838	77.3636	61.176520000000004	83.22868	
Node 71	79.41884	74.48304	86.0783	80.44428	86.80174000000001	69.54614	85.5213	88.80034	75.79942	85.46844	72.73686000000001	78.21791999999999	
Node 72	80.83713999999999	76.45384	81.43392	87.0236	90.74162	84.98097999999999	85.96152000000001	71.2397	82.29752	80.80612	85.11668	82.26492	
Node 73	73.15006	87.7009	81.34958	82.11606	79.71128	80.0936	77.99454	77.82388	85.98568	89.66128	78.17034000000001	74.61184	
Node 74	64.74879999999999	89.1209	79.38546	83.14712	77.0999	70.03782	75.58382	79.60544	84.8647	79.79152	61.66589999999999	75.69102	
Node 75	85.185	81.0103	79.10812	81.92439999999999	92.38458	60.014520000000005	85.24366	73.72012	94.0843	80.37208	77.57868	76.06739999999999	
Node 76	79.80026	75.37718	80.78116	78.96271999999999	82.11792	69.05674	47.023900000000005	57.4264	77.20595999999999	73.56278	83.83888	87.77672	
Node 77	77.65652	84.1528	95.48913999999999	84.38204	86.59192	83.75802	70.98548	71.29014000000001	89.41166	54.589960000000005	73.49356	72.76082000000001	
Node 78	72.30069999999999	73.26136	84.16818	84.64207999999999	80.82943999999999	74.39848	77.06752	98.14778	84.33542	83.30288	66.41078	78.54672000000001	
Node 79	70.50882	79.44666000000001	77.96694	82.72706	83.02372	75.06708	83.39117999999999	78.5293	81.88307999999999	83.80058	80.82812	82.99506	
Node 80	78.32382	83.71278	85.84548	94.35002	78.29787999999999	83.20868	93.62604	71.13028	81.58984000000001	78.86814	85.114	58.36002	
Node 81	76.2305	74.7983	90.70192	86.12492	76.5768	81.29106	77.446	86.31644	82.3857	97.00330000000001	59.39674	78.73672	
Node 82	79.07552	81.24662000000001	94.56444	86.45542	85.96298	76.46786	73.09242	66.93596000000001	70.165	74.7673	90.22677999999999	79.77004	
Node 83	76.15266000000001	76.40542	93.69626	79.46136	74.71664	75.39528	75.43298	76.63803999999999	65.449	84.0155	54.88578	80.12732	
Node 84	79.39188	88.10455999999999	86.79114	87.68356	89.65056	73.67704	75.92072	81.98394	85.63078	91.90426000000001	77.05575999999999	82.59474	
Node 85	87.32644	77.95298000000001	84.93692	97.5475	94.83468	73.44272	96.54388	78.94518000000001	64.37566	83.22977999999999	72.80874	85.71029999999999	
Node 86	75.68249999999999	95.09048	79.21564	77.18064	81.1689	77.51572	82.3121	93.99558	81.62556	97.46812	83.24376	90.10652	
Node 87	67.17999999999999	98.08756	80.18536	91.22185999999999	76.79738	77.72166	80.92398	86.31644	81.44954	82.05181999999999	95.20076	84.94048	
Node 88	73.20982000000001	85.01956	81.27794	78.02386	81.04346	83.69004	61.535019999999996	77.0001	80.42706	92.87052	67.37462	74.57696	
