Time	Host	Drop	Total Drop
36000	c49		1		251
36000	c50		1		251
36000	c54		12		251
36000	c55		1		251
36000	c56		1		251
36000	c57		1		251
36000	c58		1		251
36000	c60		1		251
36000	c61		1		251
36000	c62		1		251
36000	c63		1		251
36000	c67		3		251
36000	c68		3		251
36000	c69		2		251
36000	c71		2		251
36000	c72		3		251
36000	c73		1		251
36000	c74		2		251
36000	c75		1		251
36000	c76		4		251
36000	c77		7		251
36000	c78		1		251
36000	c79		1		251
36000	w80		2		251
36000	w82		1		251
36000	w83		2		251
36000	w84		1		251
36000	w85		1		251
36000	w86		2		251
36000	w87		2		251
36000	w88		4		251
36000	w90		3		251
36000	w91		6		251
36000	w92		1		251
36000	w93		2		251
36000	w95		2		251
36000	w96		2		251
36000	w97		1		251
36000	w98		2		251
36000	w101		2		251
36000	w102		3		251
36000	w103		1		251
36000	w104		2		251
36000	w105		5		251
36000	w106		1		251
36000	w107		2		251
36000	w108		2		251
36000	w109		7		251
36000	w110		1		251
36000	w111		1		251
36000	w112		3		251
36000	w114		1		251
36000	w115		1		251
36000	w116		1		251
36000	w117		10		251
36000	t120		8		251
36000	t121		8		251
36000	t122		8		251
36000	t123		8		251
36000	t124		8		251
36000	t125		8		251
39600	p0		1		233
39600	p4		1		233
39600	p6		2		233
39600	p7		1		233
39600	p8		1		233
39600	p10		1		233
39600	p11		1		233
39600	p12		2		233
39600	p13		1		233
39600	p14		1		233
39600	p15		1		233
39600	p16		2		233
39600	p17		1		233
39600	p18		1		233
39600	p19		3		233
39600	p20		2		233
39600	p21		1		233
39600	p22		2		233
39600	p23		1		233
39600	p24		2		233
39600	p27		2		233
39600	p28		1		233
39600	p30		2		233
39600	p31		1		233
39600	p32		5		233
39600	p33		10		233
39600	p34		1		233
39600	p36		2		233
39600	p37		1		233
39600	p38		3		233
39600	p39		3		233
39600	c40		2		233
39600	c44		2		233
39600	c46		1		233
39600	c47		1		233
39600	c48		1		233
39600	c49		4		233
39600	c50		3		233
39600	c51		7		233
39600	c53		3		233
39600	c55		2		233
39600	c56		2		233
39600	c57		5		233
39600	c58		3		233
39600	c60		2		233
39600	c61		2		233
39600	c63		1		233
39600	c64		4		233
39600	c65		3		233
39600	c66		1		233
39600	c67		2		233
39600	c68		1		233
39600	c69		1		233
39600	c70		1		233
39600	c71		3		233
39600	c73		4		233
39600	c74		1		233
39600	c76		7		233
39600	c77		2		233
39600	c79		3		233
39600	w80		1		233
39600	w81		5		233
39600	w82		1		233
39600	w83		1		233
39600	w84		3		233
39600	w85		2		233
39600	w86		7		233
39600	w89		1		233
39600	w92		1		233
39600	w94		1		233
