Contacts	TotalForwards
385810	6566
386310	6577
386810	6587
387311	6601
387812	6614
388313	6625
388813	6634
389313	6643
389813	6650
390313	6657
390813	6662
391314	6670
391814	6675
392314	6681
392814	6691
393314	6700
393814	6708
394314	6719
394814	6730
395315	6738
395815	6744
396315	6754
396815	6761
397315	6768
397815	6777
398316	6789
398816	6800
399316	6807
399816	6820
400317	6825
400817	6832
401317	6840
401817	6844
402317	6850
402817	6861
403319	6874
403820	6883
404320	6895
404820	6902
405320	6912
405820	6927
406320	6935
406822	6947
407322	6960
407823	6964
408323	6972
408823	6983
409323	6991
409824	7000
410324	7014
410824	7028
411324	7039
411824	7050
412324	7055
412825	7059
413325	7063
413826	7069
414326	7075
414826	7086
415326	7100
415826	7109
416327	7119
416827	7130
417327	7141
417828	7152
418328	7160
418828	7168
419328	7175
419830	7179
420330	7190
420830	7194
421331	7204
421831	7217
422331	7221
422832	7230
423332	7236
423833	7245
424335	7254
424835	7266
425335	7276
425835	7288
426335	7293
426836	7307
427336	7313
427836	7322
428337	7334
428838	7341
429338	7355
429839	7365
430339	7371
430839	7380
431339	7387
431839	7400
432339	7412
432839	7421
433339	7423
433839	7432
434340	7440
434840	7449
435340	7456
435840	7465
436340	7475
436841	7485
437342	7491
437842	7502
438342	7507
438842	7512
439342	7520
439844	7530
440344	7540
440844	7543
441345	7556
441845	7564
442345	7574
442845	7587
443345	7599
443846	7606
444346	7618
444846	7621
445347	7626
445847	7632
446347	7639
446847	7642
447347	7650
447847	7660
448347	7667
448847	7676
449348	7689
449848	7695
450348	7704
450848	7709
451349	7720
451849	7731
452349	7737
452849	7745
453350	7755
453851	7763
454351	7771
454853	7781
455355	7792
455855	7800
456355	7804
456856	7812
457357	7823
457857	7831
458357	7844
458857	7857
459358	7868
459858	7873
460358	7880
460858	7890
461358	7899
461858	7905
462358	7912
462858	7919
463359	7925
463859	7937
464359	7945
464859	7954
465359	7965
465859	7974
466359	7983
466859	7991
467360	7996
467861	8006
468363	8013
468863	8020
469363	8031
469863	8038
470363	8048
470863	8057
471363	8071
471864	8081
472364	8091
472864	8102
473364	8110
473864	8114
474364	8122
474864	8127
475364	8132
475865	8138
476365	8147
476865	8154
477365	8165
477865	8173
478365	8180
478865	8185
479365	8194
479865	8200
480365	8210
480865	8216
481366	8226
481866	8235
482366	8241
482868	8249
483368	8256
483868	8264
484368	8276
484868	8285
485368	8308
485868	8316
486368	8327
486868	8331
487368	8337
487868	8349
488368	8354
488869	8364
489370	8374
489870	8382
490370	8384
490870	8395
491370	8400
491870	8412
492370	8425
492870	8433
493370	8445
493870	8452
494370	8461
494872	8471
495373	8481
495873	8488
496373	8491
496873	8498
497373	8504
497875	8517
498375	8525
498876	8533
499379	8538
499879	8543
500379	8557
500881	8571
501381	8582
501883	8596
502383	8603
502883	8610
503384	8615
503884	8626
504384	8629
504884	8638
505385	8641
505885	8654
506385	8664
506886	8677
507386	8684
507886	8688
508386	8695
508886	8704
509386	8712
509887	8722
510387	8729
510887	8732
511387	8746
511887	8758
512387	8766
512887	8772
513387	8792
513887	8800
514387	8802
514887	8811
515387	8818
515887	8826
516387	8836
516887	8846
517387	8851
517887	8860
518387	8866
518887	8875
519387	8883
519887	8894
520387	8898
520887	8906
521387	8919
521887	8924
522387	8939
522888	8948
523389	8955
523889	8962
524389	8975
524889	8987
525390	8993
525890	8997
526390	8999
526892	9005
527392	9016
527892	9032
528393	9046
528893	9054
529394	9061
529894	9067
530394	9079
530894	9088
531394	9093
531894	9106
532394	9111
532894	9121
533394	9129
533896	9138
534396	9144
534896	9147
535396	9157
535897	9165
536398	9177
536899	9189
537400	9201
537901	9211
538401	9223
538901	9233
539402	9246
539904	9260
540406	9263
540906	9274
541406	9280
541906	9290
542406	9299
542906	9310
543406	9316
543906	9326
544408	9331
544908	9341
545409	9346
545909	9352
546410	9364
546910	9380
547410	9391
547910	9397
548410	9410
548910	9420
549410	9429
549910	9436
550410	9447
550911	9455
551411	9466
551911	9470
552411	9476
552912	9486
553412	9497
553913	9511
554413	9519
554913	9528
555413	9535
555913	9541
556413	9548
556913	9555
557414	9560
557914	9570
558414	9580
558914	9594
559414	9600
559914	9611
560415	9620
560915	9624
561415	9638
561915	9646
562415	9654
562915	9663
563416	9674
563916	9684
564416	9693
564916	9701
565417	9708
565917	9716
566417	9728
566919	9732
567420	9738
567920	9747
568421	9753
568923	9762
569423	9770
569923	9776
570423	9783
570924	9794
571424	9799
571924	9805
572424	9812
572924	9818
573424	9825
573924	9834
574424	9842
574924	9853
575424	9864
575924	9876
576425	9887
576925	9895
577425	9904
577925	9916
578425	9922
578925	9928
579427	9934
579928	9944
580429	9953
580929	9964
581431	9975
581931	9981
582431	9989
582931	9998
583432	10006
583932	10016
584433	10023
584934	10029
585434	10039
585935	10048
586435	10053
586936	10067
587436	10076
587938	10084
588439	10092
588940	10098
589440	10103
589940	10111
590441	10120
590942	10125
591442	10127
591942	10140
592442	10151
592942	10165
593442	10173
593944	10184
594444	10189
594944	10196
595444	10206
595946	10220
596446	10228
596946	10238
597446	10247
597946	10256
598446	10259
598946	10272
599447	10281
599947	10286
600447	10293
600947	10300
601447	10308
601948	10314
602448	10321
602948	10329
603448	10335
603948	10338
604448	10347
604948	10357
605448	10367
605948	10374
606449	10377
606949	10386
607449	10401
607949	10410
608449	10411
608949	10419
609449	10427
609950	10435
610450	10447
610950	10461
611453	10469
611953	10477
612453	10481
612953	10496
613453	10506
613953	10517
614454	10522
614954	10529
615454	10541
615955	10550
616456	10561
616957	10567
617458	10575
617958	10583
618458	10595
618959	10607
619459	10612
619959	10622
620459	10634
620959	10642
621460	10648
621960	10657
622460	10668
622961	10674
623461	10685
623961	10694
624461	10700
624961	10709
625461	10716
625961	10724
626461	10730
626961	10739
627461	10745
627961	10756
628462	10761
628963	10770
629464	10779
629965	10789
630465	10797
630966	10806
631466	10817
631966	10825
632466	10830
632966	10837
633466	10843
633966	10852
634467	10858
634967	10868
635467	10884
635968	10891
636470	10900
636972	10908
637472	10917
637972	10929
638472	10935
638972	10944
639472	10953
639972	10957
640472	10966
640972	10982
641474	10987
641974	10992
642474	10999
642974	11004
643474	11016
643974	11022
644474	11031
644974	11038
645474	11045
645975	11053
646475	11069
646975	11076
647475	11085
647975	11094
648475	11100
648975	11104
649476	11113
649976	11120
650476	11128
650977	11137
651477	11147
651977	11150
652477	11155
652977	11163
653477	11175
653978	11183
654479	11197
654979	11205
655479	11208
655979	11216
656480	11222
656980	11229
657480	11241
657980	11251
658481	11262
658981	11274
659481	11283
659981	11286
660482	11293
660982	11303
661482	11310
661982	11314
662482	11322
662983	11335
663483	11344
663983	11354
664483	11359
664985	11367
665485	11375
665985	11385
666485	11394
666986	11401
667486	11410
667986	11419
668486	11425
668987	11434
669488	11439
669989	11453
670490	11463
670990	11471
671491	11480
671992	11490
672493	11500
672993	11511
673495	11520
673995	11523
674495	11531
674995	11541
675496	11551
675996	11556
676496	11562
676997	11571
677497	11577
677997	11587
678497	11595
678997	11606
679499	11616
679999	11626
680499	11636
680999	11641
681500	11651
682002	11660
682502	11675
683002	11689
683502	11696
684003	11703
684503	11718
685003	11725
685504	11734
686005	11745
686505	11751
687005	11758
687506	11768
688006	11777
688507	11785
689007	11791
689507	11807
690007	11816
690507	11819
691007	11831
691507	11839
692007	11843
692507	11850
693007	11859
693507	11869
694007	11879
694507	11887
695007	11892
695508	11903
696010	11913
696510	11926
697010	11940
697510	11947
698011	11955
698511	11961
699012	11968
699512	11979
700012	11993
700512	12006
701012	12011
701512	12020
702012	12031
702512	12038
703012	12045
703513	12049
704013	12060
704514	12067
705014	12077
705515	12083
706015	12093
706516	12101
707016	12111
707517	12118
708018	12124
708518	12132
709019	12145
709519	12156
710019	12165
710519	12170
711020	12179
711521	12188
712021	12195
712521	12204
713022	12214
713522	12219
714022	12225
714522	12241
715022	12247
715522	12257
716022	12268
716525	12272
717025	12279
717525	12286
718025	12299
718525	12314
719025	12326
719525	12338
720025	12350
720525	12358
721025	12367
721525	12372
722026	12380
722527	12388
723028	12395
723528	12403
724028	12408
724528	12417
725028	12424
725528	12438
726028	12442
726528	12451
727030	12462
727530	12472
728030	12478
728530	12488
729031	12497
729531	12503
730031	12513
730531	12521
731031	12531
731531	12536
732031	12549
732531	12559
733031	12566
733532	12568
734032	12575
734532	12581
735032	12591
